K5PS14_2.PV;K5P10.PV
4.268128;4.290995
4.268122;4.252365
4.268094;4.256615
4.268075;4.278849
4.268065;4.259812
4.268047;4.251594
4.268047;4.261094
4.268037;4.276375
4.268028;4.278828
4.267894;4.258771
4.267881;4.244281
4.267809;4.2705
4.267787;4.261073
4.267694;4.261448
4.267656;4.258844
4.267647;4.269
4.267603;4.27299
4.267562;4.266787
4.26755;4.248297
4.267528;4.249479
4.267519;4.253526
4.267509;4.276297
4.267506;4.244937
4.267469;4.278823
4.267466;4.257703
4.267444;4.262688
4.267441;4.256792
4.267397;4.256901
4.267365;4.253005
4.267331;4.279938
4.267319;4.271781
4.267244;4.28524
4.267238;4.252047
4.26721;4.258682
4.267188;4.266885
4.267156;4.266589
4.267144;4.247635
4.2671;4.25763
4.2671;4.279651
4.267094;4.268844
4.267094;4.257193
4.267063;4.290604
4.267044;4.291375
4.267013;4.267817
4.267;4.256385
4.266997;4.267651
4.266947;4.259776
4.266919;4.250016
4.266888;4.264766
4.266884;4.248068
4.266866;4.251917
4.266838;4.253052
4.266834;4.251214
4.266834;4.24264
4.266819;4.265219
4.266781;4.254349
4.26675;4.263427
4.266747;4.282771
4.266735;4.244776
4.266713;4.263875
4.2667;4.265099
4.2667;4.287052
4.266681;4.264604
4.266665;4.256271
4.266587;4.249615
4.266572;4.244979
4.266562;4.265146
4.266534;4.258578
4.266528;4.250073
4.266525;4.255021
4.266475;4.278932
4.266466;4.253281
4.266425;4.252979
4.266406;4.277859
4.266378;4.24563
4.266378;4.256099
4.266372;4.257563
4.266359;4.27112
4.266335;4.258958
4.266325;4.29826
4.266315;4.254609
4.266306;4.240625
4.266306;4.250187
4.266303;4.271458
4.266281;4.26174
4.266278;4.272037
4.266278;4.263953
4.266259;4.258812
4.266222;4.26014
4.266184;4.255073
4.266162;4.265937
4.26616;4.261521
4.26616;4.255932
4.26614;4.263193
4.26614;4.256427
4.266116;4.262844
4.266094;4.267667
4.266088;4.270531
4.266053;4.244354
4.266044;4.276635
4.266019;4.253573
4.266006;4.247787
4.265991;4.268385
4.265969;4.27924
4.265963;4.260844
4.265925;4.247818
4.265906;4.257328
4.265872;4.264036
4.26586;4.285812
4.265828;4.264573
4.26581;4.250437
4.265803;4.290672
4.265797;4.264042
4.265788;4.257224
4.265681;4.265573
4.265659;4.26876
4.265656;4.239463
4.265644;4.284235
4.265637;4.279823
4.265631;4.250438
4.265631;4.278844
4.265628;4.268828
4.265622;4.257734
4.265578;4.254479
4.265575;4.260344
4.265537;4.261416
4.265494;4.256849
4.265481;4.254578
4.265481;4.254979
4.265462;4.240427
4.265462;4.250682
4.265409;4.263719
4.265316;4.274469
4.265313;4.248011
4.265303;4.266438
4.265291;4.249146
4.265291;4.261667
4.265281;4.255172
4.265269;4.243396
4.265266;4.258443
4.265265;4.255297
4.265253;4.254802
4.26509;4.252943
4.265078;4.275828
4.265072;4.250729
4.265072;4.264276
4.265047;4.260063
4.265047;4.26051
4.265035;4.259219
4.265009;4.25538
4.265003;4.294683
4.265003;4.2745
4.264981;4.286942
4.264972;4.243406
4.264937;4.278115
4.264935;4.247557
4.264919;4.265833
4.264906;4.250651
4.2649;4.235786
4.264894;4.285151
4.264884;4.255011
4.264865;4.261115
4.264859;4.245094
4.264831;4.255568
4.2648;4.253932
4.264753;4.264698
4.264672;4.267906
4.264669;4.263412
4.264657;4.249818
4.264637;4.257318
4.264609;4.264338
4.264603;4.257724
4.264597;4.269922
4.264587;4.247995
4.264565;4.250604
4.264556;4.266318
4.264547;4.247943
4.264544;4.262271
4.264544;4.245484
4.264544;4.26812
4.264534;4.258745
4.264531;4.255802
4.264528;4.273328
4.264515;4.264943
4.264513;4.269547
4.264503;4.265479
4.264488;4.256339
4.26446;4.268641
4.264441;4.242302
4.264425;4.244266
4.264381;4.286318
4.264366;4.270073
4.264325;4.240812
4.264325;4.256859
4.264294;4.272516
4.264291;4.258734
